,age,sex,race,juv_misd_count,juv_fel_count,juv_other_count,priors_count,two_year_recid,charge_desc_0,charge_desc_F1,charge_desc_F2,charge_desc_F3,charge_desc_M1,charge_desc_M2,c_charge_degree
0,0.6493506493506493,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1
1,0.1948051948051948,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1
2,0.0649350649350649,1,0,0.0,0.0,0.1111111111111111,0.1081081081081081,1,0.0,0.0,0.0,1.0,0.0,0.0,1
3,0.3246753246753247,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0
4,0.2857142857142857,1,1,0.0,0.0,0.0,0.3783783783783784,1,0.0,0.0,0.0,1.0,0.0,0.0,1
5,0.3116883116883117,1,0,0.0,0.0,0.0,0.081081081081081,0,1.0,0.0,0.0,0.0,0.0,0.0,1
6,0.2597402597402597,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0
7,0.1038961038961038,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1
8,0.0519480519480519,1,0,0.0,0.0,0.0,0.081081081081081,1,0.0,0.0,0.0,0.0,1.0,0.0,0
9,0.2337662337662338,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0
10,0.2857142857142857,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1
11,0.3636363636363637,0,1,0.0,0.0,0.0,0.027027027027027,1,1.0,0.0,0.0,0.0,0.0,0.0,1
12,0.2337662337662338,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0
13,0.0779220779220778,1,0,0.0,0.0,0.0,0.081081081081081,0,0.0,0.0,0.0,1.0,0.0,0.0,1
14,0.1558441558441558,1,1,0.0,0.0,0.0,0.1621621621621621,1,0.0,0.0,0.0,1.0,0.0,0.0,1
15,0.0259740259740259,1,0,0.0,0.0,0.0,0.027027027027027,1,0.0,0.0,0.0,1.0,0.0,0.0,1
16,0.0259740259740259,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1
17,0.0649350649350649,1,0,0.0,0.0,0.0,0.027027027027027,1,0.0,0.0,1.0,0.0,0.0,0.0,1
18,0.3116883116883117,1,1,0.0,0.0,0.0,0.027027027027027,0,0.0,0.0,0.0,0.0,0.0,1.0,0
19,0.1688311688311688,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0
20,0.1038961038961038,1,0,0.0,0.0,0.0,0.2162162162162162,1,0.0,0.0,0.0,1.0,0.0,0.0,1
21,0.0909090909090908,1,0,0.0,0.0,0.1111111111111111,0.1351351351351351,1,0.0,0.0,0.0,1.0,0.0,0.0,1
22,0.1428571428571428,1,1,0.0,0.0,0.0,0.2432432432432432,1,0.0,0.0,0.0,1.0,0.0,0.0,1
23,0.4675324675324675,1,1,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1
24,0.3896103896103896,1,0,0.0,0.0,0.0,0.1891891891891892,1,0.0,0.0,1.0,0.0,0.0,0.0,1
